Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Beae product countdown end at (product.metafields.beae.countdown),Beae product countdown start at (product.metafields.beae.countdown_from),EComposer product countdown end at (product.metafields.ecomposer.countdown),EComposer product countdown start at (product.metafields.ecomposer.countdown_from),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Configured Variants (product.metafields.nvzn.configured_ars),EasyFlow Product options (product.metafields.product_options.options),SEO Hidden (product.metafields.seo.hidden),Backrest type (product.metafields.shopify.backrest-type),Bed/Frame features (product.metafields.shopify.bed-frame-features),Building board material (product.metafields.shopify.building-board-material),Color (product.metafields.shopify.color-pattern),Foundation material (product.metafields.shopify.foundation-material),Furniture/Fixture material (product.metafields.shopify.furniture-fixture-material),Mounting type (product.metafields.shopify.mounting-type),Seat type (product.metafields.shopify.seat-type),Suitable location (product.metafields.shopify.suitable-location),Tableware material (product.metafields.shopify.tableware-material),Upholstery material (product.metafields.shopify.upholstery-material),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Israel,Price / Israel,Compare At Price / Israel,Status
roki-כיסא-דקורטיבי-עם-רגלי-עץ-אגוז,ROKI | כיסא דקורטיבי עם רגלי עץ אגוז,"<div class=""product-block"">
<div class=""rte"">
<div class=""product-block"">
<div class=""rte"">
<div class=""product-block"">
<div class=""rte"">
<div class=""prose text-pretty dark:prose-invert inline leading-normal break-words min-w-0 [word-break:break-word]"">
<p class=""my-0""><strong data-end=""72"" data-start=""45"">כיסא אוכל בסגנון מודרני</strong>, המאחד בין אלגנטיות מעודנת לנוחות ארגונומית. עם עיצוב מינימליסטי וקווים הרמוניים, הוא מביא עמו אווירה של עידון וסטייל לכל חלל. המבנה המוקפד תוכנן לישיבה נוחה לאורך זמן, בעוד שהחומרים האיכותיים – עץ מעובד או מתכת מעוצבת – מבטיחים עמידות ותחושת פרימיום. פתרון מושלם לפינות אוכל המעוניינות בשילוב של יופי ופונקציונליות.</p>
</div>
<br>
<p><b><span style=""vertical-align: inherit;"">מפרט טכני:</span></b></p>
<ul>
<li style=""font-weight: 400;"">
<span style=""font-weight: 400;""><span style=""vertical-align: inherit;"">ארץ ייצור - </span></span><span style=""font-weight: 400;""><span style=""vertical-align: inherit;"">ישראל</span></span>
</li>
<li style=""font-weight: 400;""><span style=""font-weight: 400;""><span style=""vertical-align: inherit;"">אחריות - 12 חודשים</span></span></li>
<li style=""font-weight: 400;""><span style=""font-weight: 400;""><span style=""vertical-align: inherit;"">בד דוחה כתמים</span></span></li>
<li style=""font-weight: 400;""><span style=""font-weight: 400;""><span style=""vertical-align: inherit;"">100% מיקרופייבר</span></span></li>
</ul>
</div>
</div>
</div>
</div>
</div>
</div>",7,Home & Garden > Kitchen & Dining > Tableware > Serveware > Cake Boards,"",thomas,true,Title,Default Title,,,,,,,,,1000.0,shopify,0,continue,manual,600.00,790.00,true,true,,https://cdn.shopify.com/s/files/1/0827/0453/1744/files/Photoroom_1_b1f27903-5546-4b5b-830d-b269b71ac766.jpg?v=1744791186,1,"",false,FRENKO | כיסא אוכל מודרני,,5135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,true,,,active
roki-כיסא-דקורטיבי-עם-רגלי-עץ-אגוז,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0827/0453/1744/files/1_415706d4-37fe-47c1-9ef4-c7dbef44eeca.jpg?v=1744791186,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
romi-כיסא-אוכל-מודרני-במבצע,ROMI | כיסא דקורטיבי עם בד בגוון אבן ורגלי עץ אגוז,"<div class=""product-block"">
<div class=""rte"">
<div class=""product-block"">
<div class=""rte"">
<div class=""product-block"">
<div class=""rte"">
<div class=""prose text-pretty dark:prose-invert inline leading-normal break-words min-w-0 [word-break:break-word]"">
<p class=""my-0"">כיסא עכשווי ומרשים המציע שילוב מושלם בין נוחות לסגנון. הכיסא עשוי מעץ אגוז יציב ואיכותי, מרופד בבד יוקרתי בצבע אבן עם טקסטורה עדינה, להשלמת מראה אלגנטי ומוקפד. כיסא אוכל מעוצב עם ריפוד בהיר ורגלי עץ אגוז – הבחירה המושלמת לכל פינת אוכל מודרנית או קלאסית, המעניקה לחלל מראה יוקרתי ואיכותי במיוחד.</p>
<p data-start=""442"" data-end=""452"" class=""""><strong data-start=""442"" data-end=""452"">מידות:</strong></p>
<ul data-start=""454"" data-end=""524"">
<li>רוחב ישיבה – 46 ס""מ</li>
<li>עומק ישיבה – 50 ס""מ</li>
<li>גובה כללי – 80 ס""מ<br>
</li>
</ul>
</div>
<br>
<p><b><span style=""vertical-align: inherit;"">מפרט טכני:</span></b></p>
<ul>
<li style=""font-weight: 400;"">
<span style=""font-weight: 400;""><span style=""vertical-align: inherit;"">ארץ ייצור - </span></span><span style=""font-weight: 400;""><span style=""vertical-align: inherit;"">ישראל</span></span>
</li>
<li style=""font-weight: 400;""><span style=""font-weight: 400;""><span style=""vertical-align: inherit;"">אחריות - 12 חודשים</span></span></li>
<li style=""font-weight: 400;""><span style=""font-weight: 400;""><span style=""vertical-align: inherit;"">בד דוחה כתמים</span></span></li>
<li style=""font-weight: 400;""><span style=""font-weight: 400;""><span style=""vertical-align: inherit;"">100% מיקרופייבר</span></span></li>
</ul>
</div>
</div>
</div>
</div>
</div>
</div>",7,Home & Garden > Kitchen & Dining > Tableware > Serveware > Cake Boards,"",thomas,true,Title,Default Title,,,,,,,,,1000.0,shopify,0,continue,manual,600.00,790.00,true,true,,https://cdn.shopify.com/s/files/1/0827/0453/1744/files/Photoroom_0d3d0f48-419a-427e-82a1-97803ddf54e4.jpg?v=1744790154,1,"",false,FRENKO | כיסא אוכל מודרני,,5135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,true,,,active
romi-כיסא-אוכל-מודרני-במבצע,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0827/0453/1744/files/004efe2b0debe2a705eb97e8ddb50ee7.jpg?v=1744790612,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
romi-כיסא-אוכל-מודרני-במבצע,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0827/0453/1744/files/004efe2b0debe2a705eb97e8ddb50ee7_9dacb6b5-f907-4d38-b485-ce7df84db969.jpg?v=1744790635,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
romi-כיסא-אוכל-מודרני-במבצע,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0827/0453/1744/files/004efe2b0debe2a705eb97e8ddb50ee7_941b04e3-1358-4cfb-aa97-db78ceb6aac3.jpg?v=1744790659,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
beeko-כיסא-אוכל-מודרני-במבצע,BEEKO | כיסא אוכל מודרני במבצע,"<div class=""product-block"">
<div class=""rte"">
<div class=""product-block"">
<div class=""rte"">
<div class=""product-block"">
<div class=""rte"">
<p>כיסא אוכל מודרני במבצע – מושלם למי שמחפש שילוב בין סטייל, נוחות ועמידות. הכיסא מגיע עם מושב מרופד ונוח, מבנה ארגונומי ורגליים חזקות בעיצוב עדכני. עכשיו במחיר מבצע משתלם במיוחד – כי גם לפינת האוכל שלך מגיע להיראות טוב יותר.</p>
<p><b><span style=""vertical-align: inherit;"">מפרט טכני:</span></b></p>
<ul>
<li style=""font-weight: 400;"">
<span style=""font-weight: 400;""><span style=""vertical-align: inherit;"">ארץ ייצור - </span></span><span style=""font-weight: 400;""><span style=""vertical-align: inherit;"">ישראל</span></span>
</li>
<li style=""font-weight: 400;""><span style=""font-weight: 400;""><span style=""vertical-align: inherit;"">אחריות - 12 חודשים</span></span></li>
<li style=""font-weight: 400;""><span style=""font-weight: 400;""><span style=""vertical-align: inherit;"">בד דוחה כתמים</span></span></li>
<li style=""font-weight: 400;""><span style=""font-weight: 400;""><span style=""vertical-align: inherit;"">100% מיקרופייבר</span></span></li>
</ul>
</div>
</div>
</div>
</div>
</div>
</div>",7,Home & Garden > Kitchen & Dining > Tableware > Serveware > Cake Boards,"",thomas,true,צבע לבחירה,שמנת,,,,,,,,,1000.0,shopify,0,continue,manual,490.00,790.00,true,true,,https://cdn.shopify.com/s/files/1/0827/0453/1744/files/1-Photoroom_3.jpg?v=1744029489,1,"",false,FRENKO | כיסא אוכל מודרני,,5135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0827/0453/1744/files/1-Photoroom_3.jpg?v=1744029489,kg,,,true,,,active
beeko-כיסא-אוכל-מודרני-במבצע,,,,,,,,,אפור כהה,,,,,,,,,1000.0,shopify,0,continue,manual,490.00,790.00,true,true,,https://cdn.shopify.com/s/files/1/0827/0453/1744/files/2-Photoroom_5.jpg?v=1744029620,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0827/0453/1744/files/3-Photoroom_3.jpg?v=1744029701,kg,,,,,,
beeko-כיסא-אוכל-מודרני-במבצע,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0827/0453/1744/files/3-Photoroom_3.jpg?v=1744029701,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
beeko-כיסא-אוכל-מודרני-במבצע,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0827/0453/1744/files/4-Photoroom_3.jpg?v=1744029754,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
